"","id","age","gender","education","employment","cy_sesh_score","cy_sesh_policies1","cy_sesh_deletion3","cy_sesh_deletion1","cy_sesh_communication3","cy_sesh_collection1","cy_sesh_understanding1","cy_sesh_connecting1","cy_sesh_patterns4","cy_sesh_patterns5","cy_sesh_help1","cy_sesh_purchase3","cy_sesh_threats5","cy_sesh_updates3","rse_score","rse1","rse2","rse3","rse4","rse5","rse6","rse7","rse8","rse9","rse10","lotr_score","lot1","lot2","lot3","lot4","lot5","lot6","lot7","lot8","lot9","lot10","seis_score","seis1","seis2","seis3","seis4","seis5","seis6","seis7","seis8","seis9","seis10","seis11","attentioncheck2","attentioncheck3","attentioncheck4"
"24",25,"52","Male","Bachelor's Degree","Employed Full-Time",3.58333333333333,4,3,3,3,4,4,4,4,4,3,4,3,"Moderately certain can do",29,3,3,3,2,3,3,3,3,3,3,18,3,3,3,3,3,3,3,3,3,3,3.54545454545455,3,3,3,5,5,3,3,5,3,3,3,7,4,1
"25",26,"24","Male","Master's Degree","Employed Full-Time",4.58333333333333,3,4,3,4,5,6,6,3,5,4,6,6,"Moderately certain can do",27,2,3,3,3,3,2,2,3,3,3,10,1,1,1,3,3,3,2,3,1,2,3.72727272727273,4,2,5,3,2,6,3,4,5,4,3,7,4,1
"26",27,"48","Female","Bachelor's Degree","Employed Full-Time",3.75,2,2,2,1,6,4,2,6,1,7,5,7,"6",35,3,4,4,4,4,3,4,2,4,3,18,2,3,3,3,2,2,3,3,3,4,3.09090909090909,1,3,5,3,5,3,2,3,3,5,1,7,4,1
"27",28,"24","Female","Master's Degree","Employed Full-Time",5.33333333333333,7,7,7,4,7,5,7,5,3,4,4,4,"Highly certain can do",29,3,3,3,3,3,2,3,2,4,3,10,1,1,2,1,4,3,1,0,2,3,2.90909090909091,1,1,3,3,6,5,3,2,2,4,2,7,4,1
"28",29,"19","Female","Secondary School","Student",4.5,5,5,5,5,6,3,5,4,3,3,5,5,"6",23,2,2,3,2,3,2,3,2,2,2,11,1,1,2,1,3,3,2,1,2,3,4.90909090909091,3,4,5,4,7,5,5,4,6,6,5,7,4,1
"29",30,"22","Female","Bachelor's Degree","Student",5.58333333333333,6,6,6,4,7,4,7,7,4,4,6,6,"5",25,2,2,3,3,3,2,3,2,3,2,13,3,2,1,2,3,3,2,1,3,2,5.09090909090909,3,3,4,6,6,7,5,5,6,5,6,7,4,1
"30",31,"34","Male","Master's Degree","Employed Full-Time",4.75,5,6,4,5,5,5,6,5,4,4,4,4,"6",24,2,3,3,3,3,2,3,1,2,2,8,1,2,1,2,3,3,1,3,1,2,6,6,6,6,6,6,6,6,6,6,6,6,7,4,1
"31",32,"37","Female","Secondary School","Employed Part-Time",4.91666666666667,5,5,7,3,5,4,5,5,5,3,5,7,"Highly certain can do",30,3,3,3,3,3,3,3,3,3,3,18,2,1,3,4,4,4,3,3,3,3,5,1,5,5,6,6,6,5,5,5,6,5,7,4,1
"32",33,"37","Female","Bachelor's Degree","Other:",5.16666666666667,5,7,6,4,5,7,6,5,5,4,4,4,"5",26,3,2,3,3,2,2,3,2,3,3,13,2,1,3,2,2,3,2,3,2,2,4.81818181818182,3,3,5,5,6,3,5,5,6,6,6,7,4,1
"33",34,"35","Male","Secondary School","Prefer not to say",4.08333333333333,5,7,5,2,3,2,4,6,4,3,4,4,"5",11,1,1,1,1,2,1,1,1,1,1,1,0,0,0,1,1,3,0,0,0,0,3.54545454545455,2,2,2,6,5,2,5,5,3,4,3,7,4,1
"34",35,"46","Female","Bachelor's Degree","Employed Full-Time",3.16666666666667,3,2,2,3,3,4,4,2,2,3,4,6,"Moderately certain can do",25,2,2,3,3,3,2,3,3,2,2,16,2,2,3,2,3,2,3,2,3,3,3.81818181818182,2,4,3,3,5,4,4,4,4,4,5,7,4,1
"35",36,"36","Female","Secondary School","Employed Part-Time",3.83333333333333,4,5,5,3,5,3,4,3,3,4,2,5,"5",29,2,3,3,3,3,3,3,3,3,3,9,1,3,2,2,3,3,1,1,1,2,3.09090909090909,2,1,2,5,4,3,2,3,5,5,2,7,4,1
"36",37,"30","Female","Bachelor's Degree","Employed Full-Time",5.08333333333333,5,6,6,3,6,6,5,5,5,2,5,7,"Highly certain can do",26,3,2,4,3,2,2,2,3,3,2,9,2,1,1,2,4,4,1,1,1,2,6.27272727272727,3,5,7,7,7,6,6,7,7,7,7,7,4,1
"37",38,"52","Female","Master's Degree","Employed Part-Time",3.08333333333333,4,2,4,2,3,4,2,4,2,3,3,4,"6",40,4,4,4,4,4,4,4,4,4,4,23,4,4,4,3,4,4,4,1,4,4,2.90909090909091,2,2,3,3,5,2,3,3,3,3,3,7,4,1
"38",39,"44","Female","Bachelor's Degree","Other:",3.91666666666667,4,5,5,3,3,4,4,3,3,5,4,4,"Moderately certain can do",35,4,3,4,3,4,3,4,3,4,3,18,3,3,3,3,3,3,3,3,3,3,4.81818181818182,4,4,5,5,6,6,4,4,6,5,4,7,4,1
"39",40,"42","Male","Bachelor's Degree","Employed Full-Time",4.58333333333333,4,4,6,4,6,4,5,3,2,4,6,7,"5",26,3,2,3,3,3,2,3,2,3,2,13,3,3,3,1,1,0,2,3,1,3,4.90909090909091,3,5,5,5,6,6,5,3,5,5,6,7,4,1
"40",41,"24","Male","Master's Degree","Student",3.91666666666667,3,6,5,7,5,2,3,1,3,3,5,4,"5",33,3,4,3,3,4,4,3,2,4,3,18,3,1,3,3,3,3,3,1,3,3,4.09090909090909,1,3,6,4,7,4,5,4,4,5,2,7,4,1
"41",42,"66","Female","Master's Degree","Employed Full-Time",4.58333333333333,4,6,6,4,5,3,3,4,5,3,5,7,"5",26,2,2,3,3,2,2,3,3,3,3,8,2,1,1,2,4,3,1,1,1,1,5.18181818181818,5,5,6,5,6,5,5,5,6,5,4,7,4,1
"42",43,"33","Female","Bachelor's Degree","Employed Full-Time",3.66666666666667,2,7,4,4,4,6,2,4,3,2,4,2,"5",20,2,2,3,3,1,2,2,1,2,2,7,2,1,1,1,3,3,1,3,1,1,2.81818181818182,2,2,1,6,1,3,1,6,6,2,1,7,4,1
"43",44,"37","Female","Trade School","Employed Full-Time",3.58333333333333,4,4,4,4,4,4,4,4,4,2,1,4,"3",36,3,4,4,4,3,4,4,2,4,4,15,3,4,1,4,4,4,1,3,3,3,3.90909090909091,1,2,5,5,5,6,4,5,5,4,1,7,4,1
"44",45,"41","Female","Bachelor's Degree","Employed Part-Time",3.25,2,4,4,2,2,4,3,4,5,1,4,4,"Moderately certain can do",23,2,2,3,3,3,2,2,2,2,2,4,0,2,1,0,2,3,1,0,1,1,5.18181818181818,3,5,6,6,6,5,5,6,6,5,4,7,4,1
"45",46,"48","Male","Bachelor's Degree","Employed Full-Time",4.91666666666667,4,6,6,5,5,6,5,4,4,5,3,6,"6",21,2,2,3,2,2,2,3,1,2,2,10,1,3,2,1,2,2,2,3,2,2,5.90909090909091,6,6,6,6,6,6,6,6,5,6,6,7,4,1
"46",49,"22","Female","Secondary School","Prefer not to say",4,3,5,5,4,5,3,5,5,3,2,4,4,"Moderately certain can do",20,2,2,2,2,2,2,2,3,2,1,6,1,1,1,1,2,2,1,1,1,1,3.81818181818182,3,3,4,5,5,5,3,5,4,3,2,7,4,1
"47",50,"31","Female","Bachelor's Degree","Employed Full-Time",4.58333333333333,4,4,5,4,6,5,4,4,4,4,5,6,"5",30,3,3,3,3,3,3,3,3,3,3,15,2,1,1,3,3,1,3,1,3,3,4.36363636363636,3,5,3,5,7,3,4,6,3,6,3,7,4,1
"48",51,"25","Female","Secondary School","Employed Part-Time",5.83333333333333,7,6,7,3,4,7,6,4,6,7,6,7,"Highly certain can do",24,3,1,3,3,3,2,3,1,2,3,14,3,3,3,2,4,3,2,1,2,2,6.36363636363636,7,6,6,7,7,5,6,7,6,7,6,7,4,1
"49",52,"21","Female","Bachelor's Degree","Student",4.5,5,6,4,5,4,4,5,3,4,4,4,6,"Moderately certain can do",27,3,2,3,3,3,2,3,2,3,3,10,1,3,2,3,3,4,1,1,1,2,4.54545454545455,2,2,4,5,6,5,5,5,6,5,5,7,4,1
"50",53,"36","Male","Secondary School","Employed Part-Time",3.75,5,5,3,3,4,6,4,4,2,4,2,3,"Moderately certain can do",38,4,4,3,4,4,4,4,4,4,3,20,3,3,3,4,2,1,3,2,3,4,4.36363636363636,4,3,5,4,4,7,3,4,5,6,3,7,4,1
"51",54,"19","Female","Secondary School","Student",3.83333333333333,4,5,3,4,3,4,3,6,3,5,3,3,"5",25,2,2,3,3,3,2,3,2,3,2,11,1,2,2,2,4,2,2,1,2,2,4.09090909090909,2,2,3,6,6,6,4,4,4,5,3,7,4,1
"52",55,"33","Female","Master's Degree","Employed Full-Time",3.83333333333333,2,6,5,3,4,5,3,2,3,3,4,6,"Moderately certain can do",40,4,4,4,4,4,4,4,4,4,4,22,3,3,4,4,3,2,4,3,3,4,3.90909090909091,2,2,5,5,7,3,3,3,4,5,4,7,4,1
"53",56,"20","Female","Secondary School","Student",3.58333333333333,4,3,5,1,3,4,4,1,2,5,4,7,"Highly certain can do",28,3,2,3,3,3,2,3,3,3,3,17,3,3,2,3,4,1,3,3,3,3,5.09090909090909,3,6,3,7,7,4,6,7,3,5,5,7,4,1
"54",57,"35","Female","Bachelor's Degree","Employed Part-Time",2.58333333333333,3,2,4,2,2,3,3,2,2,2,2,4,"Moderately certain can do",33,3,3,4,3,4,3,4,2,4,3,12,0,2,3,1,3,2,3,3,3,2,3.36363636363636,3,3,4,4,5,2,3,4,4,4,1,7,4,1
"55",58,"57","Female","Secondary School","Employed Full-Time",4.83333333333333,4,5,6,4,4,5,6,4,5,4,5,6,"6",35,3,4,4,3,4,3,4,3,4,3,17,2,2,3,3,3,3,3,1,3,3,5.18181818181818,5,5,5,5,5,6,5,5,5,5,6,7,4,1
"56",59,"37","Male","Bachelor's Degree","Employed Full-Time",4.58333333333333,4,6,6,4,4,4,4,4,4,5,5,5,"5",34,3,4,3,3,3,4,4,4,3,3,17,2,3,3,3,3,2,3,2,3,3,5.63636363636364,5,5,6,5,6,7,5,5,6,6,6,7,4,1
"57",60,"54","Male","Bachelor's Degree","Retired",5.16666666666667,4,6,6,5,5,6,4,6,4,4,6,6,"6",26,2,3,3,3,3,3,2,2,3,2,12,2,2,2,2,1,2,2,2,2,2,5.72727272727273,6,6,6,5,7,6,5,5,6,5,6,7,4,1
"58",61,"34","Female","Secondary School","Employed Part-Time",4.75,4,7,5,6,5,4,4,4,5,3,6,4,"Moderately certain can do",35,4,4,4,3,4,2,4,2,4,4,17,3,2,1,3,2,3,4,2,4,2,4.36363636363636,4,4,5,3,5,5,5,5,4,4,4,7,4,1
"59",62,"36","Male","Master's Degree","Employed Full-Time",3.83333333333333,5,2,6,3,4,6,4,3,1,2,4,6,"6",35,4,3,3,4,4,3,4,3,4,3,7,1,3,1,2,2,4,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,4,1
"60",63,"50","Female","Master's Degree","Other:",5,4,6,5,3,4,7,5,3,6,7,5,5,"6",29,2,1,4,3,3,2,4,4,3,3,11,2,3,2,1,3,3,2,2,2,2,5.18181818181818,6,6,7,5,3,6,3,5,4,6,6,7,4,1
"61",64,"37","Female","Master's Degree","Other:",1.5,1,4,4,1,1,1,1,1,1,1,1,1,"Highly certain cannot do at all",25,2,2,3,3,3,2,3,2,3,2,13,1,2,3,2,3,2,3,1,2,2,3,2,1,5,3,3,3,3,4,3,4,2,7,4,1
"62",65,"35","Female","Bachelor's Degree","Employed Part-Time",4.5,4,6,4,3,5,5,4,3,3,6,5,6,"6",29,3,3,3,3,3,3,3,2,3,3,18,3,3,3,3,2,3,3,2,3,3,4.90909090909091,3,2,5,6,5,6,5,5,5,6,6,7,4,1
"63",66,"32","Female","Bachelor's Degree","Employed Full-Time",4.91666666666667,4,7,7,5,7,1,5,1,4,4,7,7,"Highly certain can do",27,3,3,3,2,3,2,3,2,3,3,13,2,3,1,3,3,1,3,1,2,2,4.90909090909091,3,2,5,6,7,6,6,5,3,6,5,7,4,1
"64",67,"44","Male","Bachelor's Degree","Employed Full-Time",3.75,4,4,3,3,4,4,3,4,3,4,5,4,"Moderately certain can do",31,3,3,3,3,3,3,3,3,4,3,15,1,3,3,2,3,2,3,3,3,3,5.09090909090909,3,5,5,5,6,6,5,4,5,6,6,7,4,1
"65",68,"37","Male","Bachelor's Degree","Employed Full-Time",4.25,3,5,5,4,3,6,4,3,4,4,5,5,"5",30,3,3,4,3,3,3,3,2,3,3,12,1,2,2,3,4,3,2,2,1,3,5.90909090909091,5,6,6,6,7,6,6,5,6,5,7,7,4,1
"66",69,"49","Male","Secondary School","Employed Full-Time",3.58333333333333,2,6,4,3,4,3,3,2,2,2,5,7,"Moderately certain can do",19,2,2,4,3,1,2,2,1,1,1,2,0,3,1,0,1,1,0,2,0,1,5.36363636363636,6,5,4,5,6,5,6,4,5,6,7,7,4,1
"67",70,"30","Female","Bachelor's Degree","Seeking opportunities",4.75,4,7,7,7,7,1,7,4,4,1,7,1,"Highly certain can do",23,2,3,3,3,3,1,3,1,2,2,7,1,1,1,2,2,4,1,1,1,1,5.63636363636364,7,6,5,5,7,4,5,5,6,7,5,7,4,1
"68",71,"50","Female","Secondary School","Employed Part-Time",3.91666666666667,4,2,6,4,4,6,3,2,3,4,2,7,"6",31,3,2,4,3,4,3,3,2,4,3,18,3,2,4,3,3,3,1,2,4,3,5.36363636363636,5,6,5,5,5,7,5,5,6,6,4,7,4,1
"69",72,"24","Non-binary / third gender","Primary School","Other:",5.25,5,7,7,2,3,6,6,7,4,2,7,7,"Highly certain can do",28,3,2,3,3,4,2,3,2,3,3,13,2,2,2,2,4,3,2,2,2,3,5.63636363636364,2,5,6,6,7,6,6,6,5,6,7,7,4,1
"70",73,"64","Female","Bachelor's Degree","Employed Part-Time",4.25,4,7,7,1,4,7,4,4,4,1,1,7,"Highly certain can do",31,3,3,4,3,3,3,3,3,3,3,18,3,3,3,3,4,2,3,3,3,3,6.27272727272727,6,6,6,6,7,6,7,6,6,6,7,7,4,1
"71",74,"34","Female","Bachelor's Degree","Employed Full-Time",3.16666666666667,3,4,3,3,3,4,3,3,3,2,4,3,"3",28,3,2,3,3,3,2,3,3,3,3,7,1,1,1,2,3,3,1,1,1,1,3.09090909090909,2,2,3,5,5,3,2,2,3,5,2,7,4,1
"72",75,"34","Female","Bachelor's Degree","Employed Full-Time",1.5,1,1,1,1,2,2,2,1,1,4,1,1,"3",21,2,1,3,3,3,1,3,1,2,2,2,0,3,0,1,3,2,0,0,0,1,2.09090909090909,1,1,2,3,5,2,1,2,3,2,1,7,4,1
"73",77,"62","Female","Secondary School","Retired",4.41666666666667,6,4,5,2,4,3,3,4,6,5,5,6,"6",31,3,4,3,3,3,3,3,2,4,3,12,2,2,3,3,3,2,2,3,1,1,5,4,6,5,5,6,5,4,5,6,5,4,7,4,1
"74",78,"44","Male","Trade School","Employed Full-Time",5.66666666666667,7,7,7,4,4,5,7,6,5,3,6,7,"Highly certain can do",23,2,1,3,3,4,1,4,1,2,2,1,0,0,0,0,4,4,0,0,1,0,6.81818181818182,6,6,7,7,7,7,7,7,7,7,7,7,4,1
"75",79,"53","Female","Trade School","Employed Full-Time",5.75,5,7,7,5,7,7,6,5,3,4,7,6,"Highly certain can do",34,3,4,3,3,3,4,3,4,4,3,21,3,3,3,3,4,2,4,3,4,4,6.90909090909091,7,7,7,7,7,7,7,6,7,7,7,7,4,1
"76",80,"38","Female","Secondary School","Employed Full-Time",4.75,4,6,4,5,5,5,6,5,4,3,4,6,"Highly certain can do",31,3,3,3,3,4,3,3,3,3,3,13,2,3,3,2,4,3,2,1,1,3,6.09090909090909,5,5,7,7,6,7,6,6,6,6,6,7,4,1
"77",81,"33","Female","Secondary School","Other:",4.66666666666667,6,6,5,5,4,5,3,6,3,3,6,4,"Highly certain can do",23,2,2,3,3,3,2,3,1,2,2,9,1,2,1,2,4,3,1,0,2,2,5.45454545454545,3,4,5,6,7,6,5,5,6,6,7,7,4,1
"78",82,"31","Female","Secondary School","Employed Full-Time",3.91666666666667,4,4,4,3,4,4,3,4,4,3,7,3,"Highly certain can do",28,2,3,3,3,4,2,3,3,3,2,14,2,2,2,2,4,3,2,1,3,3,4.18181818181818,3,4,5,5,6,4,4,3,5,5,2,7,4,1
"79",83,"39","Female","Bachelor's Degree","Employed Full-Time",2.33333333333333,4,1,1,2,4,1,2,1,3,1,5,3,"3",31,3,3,3,3,3,3,3,3,4,3,9,1,2,2,2,3,1,1,1,1,2,2.36363636363636,2,2,2,2,5,2,3,2,2,2,2,7,4,1
"80",84,"29","Male","Secondary School","Employed Full-Time",3.33333333333333,4,4,4,2,4,4,4,4,1,1,4,4,"Highly certain can do",30,3,3,3,3,3,3,3,3,3,3,14,2,2,2,3,2,3,2,3,2,3,4.63636363636364,5,4,4,5,5,5,5,4,5,4,5,7,4,1
"81",85,"33","Female","Secondary School","Other:",5.66666666666667,4,7,7,4,6,6,6,7,4,4,6,7,"Highly certain can do",20,2,1,3,1,2,1,3,3,2,2,7,1,1,2,1,4,1,1,0,1,1,6.09090909090909,6,6,6,6,7,7,7,3,7,6,6,7,4,1
"82",86,"24","Female","Bachelor's Degree","Employed Part-Time",3.41666666666667,3,4,3,2,5,3,3,3,4,4,3,4,"Moderately certain can do",24,2,2,3,3,2,2,3,1,3,3,10,2,3,1,2,3,2,1,1,2,2,4.45454545454545,1,3,4,5,5,5,5,5,5,5,6,7,4,1
"83",88,"59","Female","Secondary School","Employed Part-Time",4.25,4,4,6,4,4,4,4,3,5,5,4,4,"Moderately certain can do",16,1,4,2,2,1,1,2,1,1,1,6,3,2,0,3,2,3,0,1,0,0,4.90909090909091,4,4,5,6,5,5,5,6,5,5,4,7,4,1
"84",89,"81","Male","Secondary School","Retired",3.08333333333333,4,4,5,3,3,1,2,2,2,2,3,6,"Moderately certain can do",31,3,3,4,3,3,3,3,2,4,3,19,3,3,3,3,3,3,4,4,3,3,4.54545454545455,2,4,5,4,6,5,5,4,5,4,6,7,4,1
"85",90,"39","Female","Trade School","Other:",3.75,3,4,5,4,4,3,4,3,3,4,4,4,"Moderately certain can do",29,2,3,3,3,3,3,3,3,3,3,11,2,3,2,2,3,3,2,1,2,1,3.27272727272727,2,2,2,5,5,3,3,3,4,4,3,7,4,1
"86",91,"51","Female","Secondary School","Other:",4.75,5,5,6,3,5,6,4,3,4,5,5,6,"6",29,3,3,3,3,3,2,3,3,3,3,9,2,2,1,2,2,3,1,2,1,2,5.45454545454545,4,5,6,6,6,5,6,5,6,6,5,7,4,1
"87",92,"40","Female","Secondary School","Employed Full-Time",5.91666666666667,7,7,7,4,4,7,6,4,4,7,7,7,"Highly certain can do",29,3,3,3,3,3,3,3,2,3,3,14,2,3,1,3,3,3,3,1,3,2,5.36363636363636,5,5,4,5,6,6,6,5,6,6,5,7,4,1
"88",93,"40","Female","Bachelor's Degree","Seeking opportunities",2.5,1,4,7,4,1,1,1,1,1,1,4,4,"Moderately certain can do",15,1,1,3,2,1,1,2,2,1,1,8,3,1,1,1,1,3,1,1,1,1,1.90909090909091,1,1,2,3,5,3,1,1,1,2,1,7,4,1
"89",94,"76","Male","Master's Degree","Retired",5.58333333333333,4,7,7,4,6,7,5,4,5,4,7,7,"Highly certain can do",40,4,4,4,4,4,4,4,4,4,4,24,4,3,4,4,4,3,4,4,4,4,6.18181818181818,5,6,6,6,7,7,6,6,6,6,7,7,4,1
"90",95,"44","Female","Master's Degree","Employed Part-Time",3,2,3,5,2,3,3,3,3,3,3,3,3,"Moderately certain can do",34,3,4,4,4,4,2,4,2,3,4,22,3,3,4,3,3,3,4,2,4,4,3.72727272727273,2,3,5,3,6,3,3,3,6,5,2,7,4,1
"91",96,"27","Female","Secondary School","Employed Full-Time",3.33333333333333,2,5,5,3,5,3,3,1,2,1,4,6,"3",24,2,2,2,3,3,2,3,3,2,2,7,1,1,1,2,3,1,1,1,1,1,3.63636363636364,2,2,4,3,7,3,4,5,4,4,2,7,4,1
"92",97,"32","Male","Master's Degree","Employed Full-Time",3.75,5,5,4,4,4,5,3,2,3,4,3,3,"Moderately certain can do",31,3,3,3,4,3,3,3,3,3,3,19,3,2,3,2,4,3,4,2,3,4,4.63636363636364,2,3,4,5,7,4,5,5,5,4,7,7,4,1
"93",98,"51","Female","Secondary School","Employed Full-Time",3.16666666666667,4,3,4,2,3,3,3,2,2,3,4,5,"5",25,2,2,3,3,3,2,3,2,3,2,15,3,2,1,3,4,2,3,2,3,2,3.90909090909091,2,4,3,4,5,3,5,4,4,4,5,7,4,1
